Year,Box_Office_Rank,Name, Worldwide , Domestic , Foreign 
1999,131,Universal Soldier: The Return,"$10,667,893.00 ","$10,667,893.00 ", - 
1999,132,Island of the Sharks,"$10,658,505.00 ","$10,658,505.00 ", - 
1999,133,Drop Dead Gorgeous,"$10,571,408.00 ","$10,571,408.00 ", - 
1999,134,Three to Tango,"$10,570,375.00 ","$10,570,375.00 ", - 
1999,135,Bats,"$10,155,690.00 ","$10,155,690.00 ", - 
1999,136,Brokedown Palace,"$10,115,013.00 ","$10,115,013.00 ", - 
1999,137,Dudley Do-Right,"$9,974,410.00 ","$9,974,410.00 ", - 
1999,138,The Love Letter,"$9,139,145.00 ","$8,302,478.00 ","$836,667.00 "
1999,139,Trippin',"$9,017,070.00 ","$9,017,070.00 ", - 
1999,140,Teaching Mrs. Tingle,"$8,951,935.00 ","$8,951,935.00 ", - 
1999,141,"Mystery, Alaska","$8,891,623.00 ","$8,891,623.00 ", - 
1999,142,Play It to the Bone,"$8,678,812.00 ","$8,434,146.00 ","$244,666.00 "
1999,143,Pushing Tin,"$8,408,835.00 ","$8,408,835.00 ", - 
1999,144,Twin Dragons,"$8,359,717.00 ","$8,359,717.00 ", - 
1999,145,Sunshine,"$7,607,860.00 ","$5,096,267.00 ","$2,511,593.00 "
1999,146,Outside Providence,"$7,302,522.00 ","$7,302,522.00 ", - 
1999,147,Run Lola Run,"$7,273,882.00 ","$7,267,585.00 ", - 
1999,148,200 Cigarettes,"$6,852,450.00 ","$6,852,450.00 ", - 
1999,149,Lost & Found,"$6,552,255.00 ","$6,552,255.00 ", - 
1999,150,The Straight Story,"$6,422,983.00 ","$6,203,044.00 ","$214,918.00 "
1999,151,Dick,"$6,263,240.00 ","$6,262,878.00 ", - 
1999,152,Topsy-Turvy,"$6,208,548.00 ","$6,208,548.00 ", - 
1999,153,Foolish,"$6,033,999.00 ","$6,033,999.00 ", - 
1999,154,Light It Up,"$5,985,690.00 ","$5,985,690.00 ", - 
1999,155,Siegfried & Roy: The Magic Box,"$5,231,283.00 ","$5,231,283.00 ", - 
1999,156,Jakob the Liar,"$4,956,401.00 ","$4,956,401.00 ", - 
1999,157,Wolves,"$4,811,282.00 ","$4,811,282.00 ", - 
1999,158,Mansfield Park,"$4,775,847.00 ","$4,775,847.00 ", - 
1999,159,A Walk on the Moon,"$4,750,660.00 ","$4,750,660.00 ", - 
1999,160,Mumford,"$4,555,459.00 ","$4,555,459.00 ", - 
1999,161,Sweet and Lowdown,"$4,525,794.00 ","$4,197,015.00 ","$328,779.00 "
1999,162,Flawless,"$4,488,529.00 ","$4,488,529.00 ", - 
1999,163,Simply Irresistible,"$4,398,989.00 ","$4,398,989.00 ", - 
1999,164,Detroit Rock City,"$4,217,115.00 ","$4,217,115.00 ", - 
1999,165,Gloria,"$4,197,729.00 ","$4,197,729.00 ", - 
1999,166,Idle Hands,"$4,152,523.00 ","$4,152,230.00 ", - 
1999,167,Le Dîner de Cons,"$4,071,548.00 ","$4,071,548.00 ", - 
1999,168,Playing by Heart,"$3,970,078.00 ","$3,970,078.00 ", - 
1999,169,The Winslow Boy,"$3,957,934.00 ","$3,957,934.00 ", - 
1999,170,"Lock, Stock and Two Smoking Barrels","$3,753,929.00 ","$3,753,929.00 ", - 
1999,171,Liberty Heights,"$3,736,868.00 ","$3,736,868.00 ", - 
1999,172,Fifty,"$3,328,240.00 ","$3,328,240.00 ", - 
1999,173,Elvis Gratton II: Miracle à Memphis,"$3,316,272.00 ","$3,316,272.00 ", - 
1999,174,Train of Life,"$3,311,162.00 ","$98,687.00 ","$3,212,475.00 "
1999,175,The Limey,"$3,204,663.00 ","$3,204,663.00 ", - 
1999,176,Jawbreaker,"$3,117,085.00 ","$3,117,085.00 ", - 
1999,177,Love Stinks,"$2,924,635.00 ","$2,924,635.00 ", - 
1999,178,Cradle Will Rock,"$2,903,404.00 ","$2,903,404.00 ", - 
1999,179,eXistenZ,"$2,857,399.00 ","$2,856,712.00 ", - 
1999,180,Autumn Tale,"$2,215,467.00 ","$2,205,339.00 ","$10,128.00 "
1999,181,A Dog of Flanders,"$2,165,637.00 ","$2,165,637.00 ", - 
1999,182,Limbo,"$2,160,710.00 ","$2,160,710.00 ", - 
1999,183,Trick,"$2,087,228.00 ","$2,087,228.00 ", - 
1999,184,Ravenous,"$2,062,719.00 ","$2,062,405.00 ", - 
1999,185,Beyond the Mat,"$2,053,648.00 ","$2,053,648.00 ", - 
1999,186,Besieged,"$2,048,740.00 ","$2,048,740.00 ", - 
1999,187,Wildfire: Feel the Heat,"$2,040,635.00 ","$2,040,635.00 ", - 
1999,188,Three Seasons,"$2,021,698.00 ","$2,021,698.00 ", - 
1999,189,Taal,"$2,020,532.00 ","$2,020,532.00 ", - 
1999,190,Better Than Chocolate,"$2,015,406.00 ","$2,015,406.00 ", - 
1999,191,Titus,"$2,007,290.00 ","$2,007,290.00 ", - 
1999,192,Crazy in Alabama,"$2,005,840.00 ","$2,005,840.00 ", - 
1999,193,Hum Saath-Saath Hain,"$2,005,094.00 ","$2,005,094.00 ", - 
1999,194,"Happy, Texas","$1,955,933.00 ","$1,955,933.00 ", - 
1999,195,Goodbye Lover,"$1,940,299.00 ","$1,940,299.00 ", - 
1999,196,Tango,"$1,897,948.00 ","$1,897,948.00 ", - 
1999,197,Holy Smoke,"$1,765,545.00 ","$1,765,545.00 ", - 
1999,198,The Dreamlife of Angels,"$1,726,567.00 ","$1,726,567.00 ", - 
1999,199,Romance,"$1,585,642.00 ","$1,585,642.00 ", - 
1999,200,Asterix and Obelix vs. Caesar,"$1,541,261.00 ","$1,541,261.00 ", - 
1998,1,Armageddon,"$553,709,788.00 ","$201,578,182.00 ","$352,131,606.00 "
1998,2,Saving Private Ryan,"$481,840,909.00 ","$216,540,909.00 ","$265,300,000.00 "
1998,3,Godzilla,"$379,014,294.00 ","$136,314,294.00 ","$242,700,000.00 "
1998,4,There's Something About Mary,"$369,884,651.00 ","$176,484,651.00 ","$193,400,000.00 "
1998,5,A Bug's Life,"$363,258,859.00 ","$162,798,565.00 ","$200,460,294.00 "
1998,6,Mulan,"$304,320,254.00 ","$120,620,254.00 ","$183,700,000.00 "
1998,7,Doctor Dolittle,"$294,456,605.00 ","$144,156,605.00 ","$150,300,000.00 "
1998,8,Shakespeare in Love,"$289,317,794.00 ","$100,317,794.00 ","$189,000,000.00 "
1998,9,Lethal Weapon 4,"$285,444,603.00 ","$130,444,603.00 ","$155,000,000.00 "
1998,10,The Truman Show,"$264,118,201.00 ","$125,618,201.00 ","$138,500,000.00 "
1998,11,Enemy of the State,"$250,849,789.00 ","$111,549,836.00 ","$139,299,953.00 "
1998,12,You've Got Mail,"$250,821,495.00 ","$115,821,495.00 ","$135,000,000.00 "
1998,13,The Mask of Zorro,"$250,288,523.00 ","$94,095,523.00 ","$156,193,000.00 "
1998,14,Rush Hour,"$244,386,864.00 ","$141,186,864.00 ","$103,200,000.00 "
1998,15,Life Is Beautiful,"$228,847,384.00 ","$57,247,384.00 ","$171,600,000.00 "
1998,16,The Prince of Egypt,"$218,613,188.00 ","$101,413,188.00 ","$117,200,000.00 "
1998,17,Patch Adams,"$202,292,902.00 ","$135,026,902.00 ","$67,266,000.00 "
1998,18,City of Angels,"$198,685,114.00 ","$78,685,114.00 ","$120,000,000.00 "
1998,19,The Horse Whisperer,"$186,883,563.00 ","$75,383,563.00 ","$111,500,000.00 "
1998,20,The Waterboy,"$185,991,646.00 ","$161,491,646.00 ","$24,500,000.00 "
1998,21,The Man in the Iron Mask,"$182,968,902.00 ","$56,968,902.00 ","$126,000,000.00 "
1998,22,Antz,"$171,757,863.00 ","$90,757,863.00 ","$81,000,000.00 "
1998,23,Six Days Seven Nights,"$164,839,294.00 ","$74,339,294.00 ","$90,500,000.00 "
1998,24,Stepmom,"$159,710,793.00 ","$91,137,662.00 ","$68,573,131.00 "
1998,25,Meet Joe Black,"$142,940,100.00 ","$44,619,100.00 ","$98,321,000.00 "
1998,26,The Rugrats Movie,"$140,894,675.00 ","$100,494,675.00 ","$40,400,000.00 "
