Date,Name,Year,Letterboxd URI,Rating,Rewatch,Watched Date
9/24/2023,No One Will Save You,2023,https://boxd.it/4Tg1UX,3.5,,9/23/2023
9/25/2023,Theater Camp,2023,https://boxd.it/4TAdK1,3.5,,9/24/2023
10/7/2023,Stoker,2013,https://boxd.it/4XjToj,3,,10/6/2023
10/11/2023,The Empty Man,2020,https://boxd.it/4YJV4B,3.5,,10/9/2023
10/13/2023,Totally Killer,2023,https://boxd.it/4Z7Uej,3,,10/11/2023
10/15/2023,The Strangers,2008,https://boxd.it/500YYb,3.5,,10/13/2023
10/17/2023,The Ritual,2017,https://boxd.it/50L8LN,3.5,,10/16/2023
10/21/2023,The Nightmare Before Christmas,1993,https://boxd.it/51QG0v,3.5,,10/20/2023
10/24/2023,Haunted Mansion,2023,https://boxd.it/52YZB1,2.5,,10/23/2023
11/2/2023,No Hard Feelings,2023,https://boxd.it/55YE6D,3.5,,10/31/2023
11/7/2023,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/57QtZJ,5,Yes,11/5/2023
11/20/2023,Five Nights at Freddy's,2023,https://boxd.it/5bCAtX,2.5,,11/18/2023
11/25/2023,The Marvels,2023,https://boxd.it/5dhHjV,3.5,,11/24/2023
12/13/2023,Leave the World Behind,2023,https://boxd.it/5jy8e5,3.5,,12/11/2023
12/13/2023,May December,2023,https://boxd.it/5jLjX7,4,,12/12/2023
12/16/2023,Krampus,2015,https://boxd.it/5kywHp,3,,12/14/2023
12/16/2023,Cars,2006,https://boxd.it/5kIUuT,4,Yes,12/15/2023
12/23/2023,Godzilla Minus One,2023,https://boxd.it/5nhXA9,4.5,,12/22/2023
12/30/2023,Your Name.,2016,https://boxd.it/5rjp6p,4.5,,12/29/2023
12/31/2023,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/5rAXIB,4,,12/30/2023
1/1/2024,Saltburn,2023,https://boxd.it/5s4UMP,3.5,,12/30/2023
1/5/2024,The Killing of a Sacred Deer,2017,https://boxd.it/5uDKn9,3.5,,1/3/2024
1/7/2024,Little Women,2019,https://boxd.it/5vZgjT,4,Yes,1/5/2024
1/17/2024,Jujutsu Kaisen 0,2021,https://boxd.it/5ChTt9,4,,1/10/2024
1/14/2024,The Sorcerer's Apprentice,2010,https://boxd.it/5A9uHV,3.5,Yes,1/12/2024
1/16/2024,Mamma Mia!,2008,https://boxd.it/5BmZGJ,4,,1/14/2024
1/16/2024,Notting Hill,1999,https://boxd.it/5BJT67,4,,1/15/2024
1/18/2024,The Killer,2023,https://boxd.it/5CwEot,3.5,,1/16/2024
1/19/2024,The Creator,2023,https://boxd.it/5D9coD,3.5,,1/18/2024
1/20/2024,Renfield,2023,https://boxd.it/5DysqP,3,,1/19/2024
1/23/2024,Freaky,2020,https://boxd.it/5EWQK7,2.5,,1/21/2024
1/23/2024,The Equalizer,2014,https://boxd.it/5FdiKB,3.5,,1/22/2024
1/24/2024,The Equalizer 2,2018,https://boxd.it/5FHUg5,3,,1/22/2024
1/24/2024,The Equalizer 3,2023,https://boxd.it/5FHUtX,3,,1/23/2024
1/26/2024,Con Air,1997,https://boxd.it/5Gs3Yx,4,,1/24/2024
1/27/2024,Oblivion,2013,https://boxd.it/5H0YbF,3,Yes,1/26/2024
1/28/2024,Paddington,2014,https://boxd.it/5Hh4wr,4,Yes,1/26/2024
1/29/2024,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/5IiI73,5,Yes,1/28/2024
1/31/2024,The Holdovers,2023,https://boxd.it/5JgeiZ,4,,1/30/2024
2/3/2024,Orion and the Dark,2024,https://boxd.it/5KqLxn,3.5,,2/2/2024
2/4/2024,Silent Hill,2006,https://boxd.it/5KHXTz,2.5,,2/2/2024
2/4/2024,Plus One,2019,https://boxd.it/5L3sPP,4,,2/3/2024
2/6/2024,Dune,2021,https://boxd.it/5LPjxD,4.5,Yes,2/3/2024
2/8/2024,Reptile,2023,https://boxd.it/5MOvXF,3,,2/7/2024
2/12/2024,Oldboy,2003,https://boxd.it/5ODQ5b,5,Yes,2/9/2024
2/12/2024,School of Rock,2003,https://boxd.it/5OsIO1,4,Yes,2/11/2024
2/12/2024,Dumb Money,2023,https://boxd.it/5OB1zb,3.5,,2/11/2024
2/14/2024,Pacific Rim,2013,https://boxd.it/5Pgxs9,3.5,Yes,2/12/2024
2/16/2024,The Handmaiden,2016,https://boxd.it/5Q4mcp,4,,2/14/2024
2/17/2024,Gran Turismo,2023,https://boxd.it/5Qyytx,3.5,,2/16/2024
2/18/2024,Family Switch,2023,https://boxd.it/5Rnk1r,2,,2/16/2024
2/18/2024,L.A. Confidential,1997,https://boxd.it/5RnkE9,4.5,Yes,2/17/2024
2/26/2024,Oppenheimer,2023,https://boxd.it/5UYjEt,4.5,Yes,2/23/2024
3/1/2024,Dune: Part Two,2024,https://boxd.it/5WLwzN,4.5,,2/29/2024
3/6/2024,Waves,2019,https://boxd.it/5Z63QZ,4.5,,3/4/2024
3/8/2024,Heathers,1989,https://boxd.it/5ZSkSz,3.5,Yes,3/6/2024
3/8/2024,Poor Things,2023,https://boxd.it/60b6Up,4.5,,3/7/2024
3/13/2024,Logan,2017,https://boxd.it/62DLM1,5,Yes,3/12/2024
3/14/2024,Barbie,2023,https://boxd.it/62TF37,4,,3/13/2024
3/19/2024,Happy Death Day,2017,https://boxd.it/65a3fL,3.5,,3/17/2024
3/21/2024,The Mummy,1999,https://boxd.it/663UPR,3,,3/18/2024
3/26/2024,Anatomy of a Fall,2023,https://boxd.it/68zbLd,4,,3/25/2024
4/1/2024,Marcel the Shell with Shoes On,2021,https://boxd.it/6bz7dN,4.5,,3/31/2024
4/2/2024,Castle in the Sky,1986,https://boxd.it/6bSVoT,4,,4/1/2024
4/2/2024,Dream Scenario,2023,https://boxd.it/6c5Ik1,4,,4/1/2024
4/3/2024,Under the Silver Lake,2018,https://boxd.it/6cjQrd,4,,4/2/2024
4/4/2024,Howl's Moving Castle,2004,https://boxd.it/6cOgv1,4.5,,4/3/2024
4/6/2024,Spirited Away,2001,https://boxd.it/6dJ3mp,4,Yes,4/5/2024
4/12/2024,Kiki's Delivery Service,1989,https://boxd.it/6gc8wl,4,,4/10/2024
4/12/2024,A Haunting in Venice,2023,https://boxd.it/6gc8M9,3,,4/11/2024
4/13/2024,Runaway Jury,2003,https://boxd.it/6gAi2j,3.5,,4/12/2024
4/16/2024,Bottoms,2023,https://boxd.it/6hTVeF,3.5,,4/15/2024
4/19/2024,Thanksgiving,2023,https://boxd.it/6iJicp,2.5,,4/15/2024
4/19/2024,Inside Man,2006,https://boxd.it/6iJh45,4,Yes,4/17/2024
4/27/2024,Rise of the Planet of the Apes,2011,https://boxd.it/6lPoGf,4,Yes,4/26/2024
4/30/2024,Anyone But You,2023,https://boxd.it/6ncSFB,3,,4/28/2024
5/4/2024,Migration,2023,https://boxd.it/6p9yNn,3,,5/3/2024
5/6/2024,Mr. & Mrs. Smith,2005,https://boxd.it/6pSuOL,3.5,,5/4/2024
5/6/2024,Star Wars: Episode I â€“ The Phantom Menace,1999,https://boxd.it/6q3WdP,3.5,Yes,5/5/2024
5/9/2024,Jurassic World,2015,https://boxd.it/6reT0J,3.5,,5/7/2024
5/9/2024,Jurassic World: Fallen Kingdom,2018,https://boxd.it/6rkaID,2.5,,5/8/2024
5/9/2024,The Visit,2015,https://boxd.it/6rlGVB,4,,5/8/2024
5/11/2024,The Lodge,2019,https://boxd.it/6rPSRL,3.5,,5/9/2024
5/12/2024,Dawn of the Planet of the Apes,2014,https://boxd.it/6scwmn,4,Yes,5/10/2024
5/12/2024,Me and Earl and the Dying Girl,2015,https://boxd.it/6sv0Y3,4.5,,5/11/2024
5/14/2024,Run,2020,https://boxd.it/6t2V5v,3.5,,5/12/2024
5/14/2024,10 Things I Hate About You,1999,https://boxd.it/6tlHg3,4,Yes,5/13/2024
5/15/2024,American Fiction,2023,https://boxd.it/6tsT5F,3.5,,5/14/2024
5/16/2024,Red Eye,2005,https://boxd.it/6tLuBp,2.5,,5/14/2024
5/17/2024,War for the Planet of the Apes,2017,https://boxd.it/6unWZl,4,Yes,5/16/2024
5/18/2024,The Descendants,2011,https://boxd.it/6uEACD,4,,5/16/2024
5/18/2024,Kingdom of the Planet of the Apes,2024,https://boxd.it/6uEB93,3.5,,5/17/2024
5/19/2024,Mother of the Bride,2024,https://boxd.it/6vc0p7,1,,5/18/2024
5/19/2024,Rope,1948,https://boxd.it/6vc2Sb,4.5,,5/18/2024
5/21/2024,Anatomy of a Murder,1959,https://boxd.it/6w40Y5,3.5,,5/19/2024
5/21/2024,You've Got Mail,1998,https://boxd.it/6w41uZ,4,Yes,5/20/2024
5/22/2024,The Night of the Hunter,1955,https://boxd.it/6wbFdD,3,,5/20/2024
5/23/2024,Hellboy,2004,https://boxd.it/6wOarR,3.5,,5/22/2024
5/27/2024,Hellboy II: The Golden Army,2008,https://boxd.it/6yx2Wh,3.5,,5/26/2024
5/29/2024,"I, Tonya",2017,https://boxd.it/6zeJpB,4,,5/27/2024
5/31/2024,The Holiday,2006,https://boxd.it/6zUBL9,3,,5/28/2024
6/1/2024,Mad Max: Fury Road,2015,https://boxd.it/6ApvKV,4.5,Yes,5/30/2024
6/3/2024,BlackBerry,2023,https://boxd.it/6Be2fV,4,,6/1/2024
6/4/2024,Fright Night,1985,https://boxd.it/6BGeUR,3.5,,6/2/2024
6/4/2024,The First Omen,2024,https://boxd.it/6BWaxr,3.5,,6/3/2024
6/5/2024,Everybody Wants Some!!,2016,https://boxd.it/6ChM5H,4,,6/4/2024
6/6/2024,Incendies,2010,https://boxd.it/6CF5V9,4.5,,6/5/2024
