Year,Box_Office_Rank,Name,   Worldwide   ,   Domestic   ,   Foreign   
2000,113,Dr. T & the Women," $22,844,291.00 "," $13,113,041.00 "," $9,731,250.00 "
2000,114,The Contender," $22,361,811.00 "," $17,872,723.00 "," $4,489,088.00 "
2000,115,Michael Jordan to the Max," $21,268,532.00 "," $18,650,521.00 "," $2,618,011.00 "
2000,116,Best in Show," $20,789,556.00 "," $18,715,392.00 "," $2,074,164.00 "
2000,117,Thomas and the Magic Railroad," $19,748,009.00 "," $15,933,506.00 "," $3,814,503.00 "
2000,118,Get Carter," $19,412,993.00 "," $14,967,182.00 "," $4,445,811.00 "
2000,119,The Ninth Gate," $18,661,336.00 "," $18,661,336.00 ",
2000,120,Loser," $18,404,706.00 "," $15,618,626.00 "," $2,786,080.00 "
2000,121,All the Pretty Horses," $18,133,495.00 "," $15,540,353.00 "," $2,593,142.00 "
2000,122,Quills," $17,989,227.00 "," $7,065,332.00 "," $10,923,895.00 "
2000,123,CyberWorld," $16,653,900.00 "," $11,253,900.00 "," $5,400,000.00 "
2000,124,Digimon: The Movie," $16,643,191.00 "," $9,631,153.00 "," $7,012,038.00 "
2000,125,The Dish," $16,575,074.00 "," $2,552,992.00 "," $14,022,082.00 "
2000,126,Italian for Beginners," $16,349,568.00 "," $4,544,753.00 "," $11,804,815.00 "
2000,127,Drowning Mona," $15,906,764.00 "," $15,506,764.00 "," $400,000.00 "
2000,128,Highlander: Endgame," $15,843,608.00 "," $12,811,858.00 "," $3,031,750.00 "
2000,129,Bait," $15,471,969.00 "," $15,325,127.00 "," $146,842.00 "
2000,130,Supernova," $14,828,081.00 "," $14,230,455.00 "," $597,626.00 "
2000,131,Malena," $14,493,284.00 "," $3,448,233.00 "," $11,045,051.00 "
2000,132,I Dreamed of Africa," $14,400,327.00 "," $6,651,522.00 "," $7,748,805.00 "
2000,133,What Planet Are You From?," $14,145,677.00 "," $6,291,602.00 "," $7,854,075.00 "
2000,134,The Ladies Man," $13,743,212.00 "," $13,616,610.00 "," $126,602.00 "
2000,135,Solarmax," $13,400,161.00 "," $13,400,161.00 ",
2000,136,The Crew," $13,105,853.00 "," $13,023,075.00 "," $82,778.00 "
2000,137,The Way of the Gun," $13,069,740.00 "," $6,055,661.00 "," $7,014,079.00 "
2000,138,In the Mood for Love," $12,854,953.00 "," $2,738,980.00 "," $10,115,973.00 "
2000,139,Gossip," $12,591,270.00 "," $5,108,820.00 "," $7,482,450.00 "
2000,140,Ready to Rumble," $12,452,362.00 "," $12,394,327.00 "," $58,035.00 "
2000,141,The Legend of Drunken Master," $11,555,430.00 "," $11,555,430.00 ",
2000,142,You Can Count on Me," $11,242,521.00 "," $9,416,804.00 "," $1,825,717.00 "
2000,143,Shadow of the Vampire," $11,155,214.00 "," $8,293,784.00 "," $2,861,430.00 "
2000,144,Lucky Numbers," $10,890,222.00 "," $10,042,516.00 "," $847,706.00 "
2000,145,Here on Earth," $10,873,148.00 "," $10,522,168.00 "," $350,980.00 "
2000,146,Pollock," $10,558,970.00 "," $8,598,593.00 "," $1,960,377.00 "
2000,147,Anatomy," $10,501,958.00 "," $9,660.00 "," $10,492,298.00 "
2000,148,The Virgin Suicides," $10,409,377.00 "," $4,906,229.00 "," $5,503,148.00 "
2000,149,Woman on Top," $10,194,274.00 "," $5,020,111.00 "," $5,174,163.00 "
2000,150,Godzilla 2000: Millennium," $10,037,390.00 "," $10,037,390.00 ",
2000,151,Whatever It Takes," $9,902,115.00 "," $8,745,680.00 "," $1,156,435.00 "
2000,152,3 Strikes," $9,832,166.00 "," $9,832,166.00 ",
2000,153,Bread and Tulips," $9,719,848.00 "," $5,318,679.00 "," $4,401,169.00 "
2000,154,Ghost Dog: The Way of the Samurai," $9,380,473.00 "," $3,308,029.00 "," $6,072,444.00 "
2000,155,State and Main," $9,206,279.00 "," $6,944,471.00 "," $2,261,808.00 "
2000,156,Before Night Falls," $8,527,517.00 "," $4,242,892.00 "," $4,284,625.00 "
2000,157,Butterfly," $7,733,894.00 "," $2,092,682.00 "," $5,641,212.00 "
2000,158,Ants in the Pants," $7,625,967.00 ",," $7,625,967.00 "
2000,159,Requiem for a Dream," $7,390,108.00 "," $3,635,482.00 "," $3,754,626.00 "
2000,160,Where the Money Is," $7,243,669.00 "," $5,661,798.00 "," $1,581,871.00 "
2000,161,Screwed," $7,201,701.00 "," $7,027,345.00 "," $174,356.00 "
2000,162,Widow of St. Pierre," $7,193,889.00 "," $3,193,889.00 "," $4,000,000.00 "
2000,163,Croupier," $7,075,068.00 "," $6,201,143.00 "," $873,925.00 "
2000,164,Duets," $6,620,242.00 "," $4,739,023.00 "," $1,881,219.00 "
2000,165,Now or Never," $5,995,963.00 ",," $5,995,963.00 "
2000,166,Black & White," $5,541,431.00 "," $5,277,299.00 "," $264,132.00 "
2000,167,The in Crowd," $5,280,035.00 "," $5,280,035.00 ",
2000,168,The House of Mirth," $5,164,404.00 "," $3,043,284.00 "," $2,121,120.00 "
2000,169,Otto - Der Katastrofenfilm," $5,058,355.00 ",," $5,058,355.00 "
2000,170,Whipped," $4,775,009.00 "," $4,159,986.00 "," $615,023.00 "
2000,171,Held Up," $4,705,631.00 "," $4,705,631.00 ",
2000,172,The Jungle Book 2000 Re-release," $4,466,472.00 ",," $4,466,472.00 "
2000,173,The Tao of Steve," $4,406,030.00 "," $4,342,203.00 "," $63,827.00 "
2000,174,Mohabbatein," $4,279,351.00 "," $1,070,000.00 "," $3,209,351.00 "
2000,175,East Is East," $4,177,818.00 "," $4,177,818.00 ",
2000,176,Bossa Nova," $4,069,261.00 "," $1,823,297.00 "," $2,245,964.00 "
2000,177,Erkan & Stefan," $4,026,949.00 ",," $4,026,949.00 "
2000,178,Pettson & Findus - Katten och gubbens år," $3,920,489.00 ",," $3,920,489.00 "
2000,179,Up at the Villa," $3,740,113.00 "," $2,933,161.00 "," $806,952.00 "
2000,180,The Big Kahuna," $3,728,888.00 "," $3,165,544.00 "," $563,344.00 "
2000,181,Price of Glory," $3,548,556.00 "," $3,440,228.00 "," $108,328.00 "
2000,182,Gun Shy," $3,221,280.00 "," $1,638,202.00 "," $1,583,078.00 "
2000,183,Beautiful," $3,169,930.00 "," $3,157,348.00 "," $12,582.00 "
2000,184,Isn't She Great," $3,003,296.00 "," $2,962,465.00 "," $40,831.00 "
2000,185,No More School," $2,870,533.00 ",," $2,870,533.00 "
2000,186,Flickering Lights," $2,760,019.00 ",," $2,760,019.00 "
2000,187,The Color of Paradise," $2,724,595.00 "," $1,817,216.00 "," $907,379.00 "
2000,188,God's Army," $2,637,726.00 "," $2,637,726.00 ",
2000,189,But I'm a Cheerleader," $2,595,216.00 "," $2,205,627.00 "," $389,589.00 "
2000,190,Bamboozled," $2,463,650.00 "," $2,274,979.00 "," $188,671.00 "
2000,191,East/West," $2,321,029.00 "," $2,321,029.00 ",
2000,192,Shower," $2,150,929.00 "," $1,157,764.00 "," $993,165.00 "
2000,193,Left Luggage," $2,111,280.00 "," $1,069,540.00 "," $1,041,740.00 "
2000,194,Blood Simple 2000 Re-release," $2,068,701.00 "," $1,701,855.00 "," $366,846.00 "
2000,195,Marlene," $2,061,924.00 ",," $2,061,924.00 "
2000,196,Hamlet," $2,046,433.00 "," $1,577,287.00 "," $469,146.00 "
